,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,Wine Year
9261,9261,US,"Nutty and lush with layers of peach, pear and lime fruit, this is a medium-bodied and well-balanced white. It's refreshing while offering both length and breadth on the palate.",Cuvée Renee,91,31.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Eric Kent 2015 Cuvée Renee Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Eric Kent,2015
9263,9263,US,"This wine is lifted by vibrant acidity and shows bread-like aromas accented with wild strawberry, compost and forest floor flavors. Light-bodied and fresh on the palate, it's nicely crafted and table-ready.",Estate Grown,91,27.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Gloria Ferrer 2013 Estate Grown Pinot Noir (Carneros),Pinot Noir,Gloria Ferrer,2013
9264,9264,US,"Fiesta is the lightest, most fruit forward of the four different Tempranillos from Abacela. In a great year such as this, it's also substantial and authoritative, with deeply driven flavors of red and blueberry fruit, a whiff of oak and slightly grainy tannins. This wine clearly over-delivers for the price.",Fiesta,91,23.0,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Abacela 2014 Fiesta Tempranillo (Umpqua Valley),Tempranillo,Abacela,2014
9267,9267,US,"Barbecue smoke is prevalent both on the nose and palate, a characteristic that lays atop supple tannins and oak. This wine has a powerful bite of bitterness on the lean, herbal finish.",Reserve,86,52.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Rutherford Ranch 2012 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Rutherford Ranch,2012
9276,9276,US,"Velvety texture underlies dusty tannins and neutral oak in this light and lean wine from a vineyard in the heart of Pinot Noir country. Vanilla and cherry play off each other nicely, finding equal partnership with a buoyant acidity.",Los Amigos Vineyard,86,28.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Wait Cellars 2014 Los Amigos Vineyard Cabernet Franc (Russian River Valley),Cabernet Franc,Wait Cellars,2014
9277,9277,US,"Sweet-leaning red berries meet with touches of cinnamon and vanilla on the nose of this affordably priced wine. There is decent acidic zest on the palate, which frames the tart cranberry and dark strawberry fruit and is leveled by pencil-lead flavors. It's fairly simplistic overall.",Mission Series,86,22.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Crespi Ranch 2013 Mission Series Pinot Noir (Santa Lucia Highlands),Pinot Noir,Crespi Ranch,2013
9280,9280,US,"Boysenberry, violets and a touch of bacon fat show on the nose of this wine from a vineyard on Paso's Eastside. The palate is upright in both tannins and searing acidity, with flavors of tart blueberry and black peppercorn.",Steinbeck Vineyard,86,26.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Eberle 2013 Steinbeck Vineyard Syrah (Paso Robles),Syrah,Eberle,2013
9282,9282,US,"Pear blossom, baked lemons, packed lemon flowers, apple juice, walnut and a touch of quinine pop on the nose of this wine from a challenging grape. The palate is rich but zesty with walnut oil, chamomile, lime, apple and pear notes, offering lots of textural intrigue.",Camp Four Vineyard,86,25.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Epiphany 2014 Camp Four Vineyard Roussanne (Santa Barbara County),Roussanne,Epiphany,2014
9289,9289,US,"This is a light, clear and candied wine, somewhat thin, that's also tangy in acidity. Also holding 5% Zinfandel and 5% Sangiovese, it's definitely fruity in cherry and vanilla without getting overripe, a good value made by longtime winemaker Dr. Richard Peterson.",Mission Series,86,22.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Crespi Ranch 2012 Mission Series Pinot Noir (Russian River Valley),Pinot Noir,Crespi Ranch,2012
9296,9296,US,"Fresh-flowing blood, dried Italian herbs and cured cuts of meat greet the nose on this annual Bonny Doon treat, a blend of 28% Syrah, 22% Grenache, 17% Cinsault, 17% Mourvèdre and 16% Carignane. The flavors are dominated by purple fruits, trending toward blackberry and blueberry, with violet florals and rustic dust.",Le Cigare Volant Reserve,92,78.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Bonny Doon 2010 Le Cigare Volant Reserve Red (Central Coast),Rhône-style Red Blend,Bonny Doon,2010
9305,9305,US,"From Olsen vineyard grapes, this is brawny, ripe, dark and oaky—what else would you expect? It's a take-no-prisoners red that is loaded with spicy blackberry fruit. Tannins are ripe and in proportion, and the fruit has that notable lift from vivid acidity that sets Washington reds apart.",Ring of Fire,92,42.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Sparkman 2012 Ring of Fire Petite Sirah (Yakima Valley),Petite Sirah,Sparkman,2012
9307,9307,US,"A blend of Grenache, Mourvèdre and Petite Sirah all aged in neutral oak, it's jazzy and appealing with notes of blue fruit, raspberry, smoked meat and peppery spices showing good purity and richness. It's nowhere near as weighty as the labeled alcohol level might suggest.",Squirrel Tooth Alice,92,39.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Dusted Valley 2012 Squirrel Tooth Alice Red (Wahluke Slope),Rhône-style Red Blend,Dusted Valley,2012
9310,9310,US,"This wine features inviting aromatics of fresh plum, coconut and strawberry. The palate entices with savory rhubarb, bay leaf, mint and cola. A tight core of structure partners with soft, plush tannins.",Quail Hill Vineyard Old Vines,92,70.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar 2012 Quail Hill Vineyard Old Vines Pinot Noir (Russian River Valley),Pinot Noir,Lynmar,2012
9315,9315,US,"Ridge's historic Monte Bello estate produces black tobacco, wet slate, chalk and blueberry jam aromas in this vintage. The wine, which gets support from 14% Merlot-3% Petite Verdot-1% Cabernet Franc, is not very dense and even racy on the palate, with violet, cola, tart cranberry and darker fruit as well.",Monte Bello Estate,92,50.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Ridge 2011 Monte Bello Estate Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Ridge,2011
9316,9316,US,"Adam Lee's take on this vineyard on the eastern border of the Sta. Rita Hills is rich with tomato, cinnamon, sour cherry and tart blackberry aromas. It's soft and velvety once sipped, with cranberry juice flavors and cola making for a fun yet approachable Pinot Noir, easy to drink but able to trigger deep thoughts as well.",John Sebastiano Vineyard,92,49.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Siduri 2012 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Siduri,2012
9317,9317,US,"Brisk freshness characterizes this Pinot from Richard Sanford, a pioneer in the region. The wine presents violet and elderberry on the nose and is soft yet extra-expressive once sipped, with mocha, strawberry, black tea, and, on the edges, a grapefruit peel bitterness.",La Encantada Vineyard,92,50.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Alma Rosa 2012 La Encantada Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Alma Rosa,2012
9318,9318,US,"There's a bit more fruit—cherry, cranberry—and no dust to this Cigare compared to other Bonny Doon bottlings, but blacker aromas of asphalt and char persist. The blend of 36% Syrah, 25% Grenache, 20% Mourvèdre and 19% Cinsault delivers strong tannins and flavors of a black-and-blue filet mignon topped with a wild berry reduction sauce",Le Cigare Volant,92,38.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Bonny Doon 2009 Le Cigare Volant Red (Central Coast),Rhône-style Red Blend,Bonny Doon,2009
9319,9319,US,"Charred meat, blood, concrete and elderberry form a deep and complex nose. The fine-grained tannins deliver gamy, blackberry flavors, making for a very solid wine that's a steal of a deal.",Estate,92,24.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Vina Robles 2011 Estate Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Vina Robles,2011
9320,9320,US,"This Pinot Noir project from the Napa Valley's Hall family starts with dense and inky core aromas of ripe raspberry and black tea, with a touch of vanilla. Once sipped, the flavors verge toward black cherry and blackberry, with very liqueur-like chocolate and a pronounced and lasting spice element.",Rita's Crown,92,65.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Walt 2012 Rita's Crown Pinot Noir (Sta. Rita Hills),Pinot Noir,Walt,2012
9325,9325,US,"Despite the name, this is the value offering, not the reserve, from Soléna. Young, tart and tight, it displays primary fruit flavors of strawberry and raspberry, with sharp, lemony acids. Holding until 2016–2017 may help to smooth it out, but it's perfectly delightful already.",Grande Cuvée,89,28.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Soléna 2013 Grande Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Soléna,2013
9326,9326,US,"Sweet-seeming aromas and flavors dominate this full-bodied, ripe-tasting wine—not unusual for a Rhône-style blend that leads with  Grenache. A spicy, smoky influence is delicious in its own right, but has a tasty component of fresh blackberry and boysenberry to back it up.",Côtes du Renard,89,26.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,The Dancing Fox 2011 Côtes du Renard Red (Lodi),Rhône-style Red Blend,The Dancing Fox,2011
9327,9327,US,"Slightly oxidized aromas of marzipan, pressed yellow flowers, dried lemon rinds and apricot cream entice the nose on this wine from the historic vineyard by Joshua Klapper. The palate shows woody spice and a unique iodine character, with cinnamon, salt, sour yeastiness and a touch of tart citrus peel.",Bien Nacido,89,36.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,La Fenêtre 2011 Bien Nacido Chardonnay (Santa Maria Valley),Chardonnay,La Fenêtre,2011
9331,9331,US,"Remarkably strong cinnamon characterizes the nose of this old-vine wine, which also shows red and black cherries, potpourri and gingerbread on the nose. Black raspberries, cranberry-pomegranate juice, dark chocolate, purple flowers, black pepper and cardamom entertain the palate, which also offers decent acidity and grip, but finishes quickly.",Martinelli,89,60.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Lone Madrone 2012 Martinelli Zinfandel (Paso Robles),Zinfandel,Lone Madrone,2012
9343,9343,US,"Full bodied and bold flavored, this is not overwhelmingly dark in color nor pumped up in ripeness. It does emphasize aromas of anise and dried plums, adding flavors of blackberrry juice and a sense of alcoholic strength. It is moderately tannic, while the texture is mouthfilling and the finish rather warm.",The Truant,89,36.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Prospect 772 2012 The Truant G-S-M (Sierra Foothills),G-S-M,Prospect 772,2012
9375,9375,US,"This is a 100% estate wine from the producer's cool-climate sites near the town of Freestone. Black pepper and a nutty entry invite one in to explore further, this wine having many stories to tell as it develops. Soft and mellow, it's also feral and funky, with a strong essence of mushroomy forest floor.",Quarter Moon Vineyard,93,75.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Joseph Phelps 2013 Quarter Moon Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Joseph Phelps,2013
9376,9376,US,"This is a beautiful and beguiling wine, so different from many of its counterparts in its sizzling, citrus-driven acidity and persistent freshness. Tangerine and grapefruit are the stars, unexpectedly keeping this light-bodied vineyard-designate alive and inviting on the palate.",Sweetwater Springs Vineyard,93,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Brick & Mortar 2014 Sweetwater Springs Vineyard Chardonnay (Russian River Valley),Chardonnay,Brick & Mortar,2014
9380,9380,US,"Bright, fresh and vivacious, this bottling from the historic vineyard offers white flowers, sea salt, lemons and buttered white peaches on the nose. Apple flesh and lime rind sizzles into the citrus-driven palate, where a touch of lemon verbena adds complexity to this straightforward and delicious wine.",Bien Nacido Vineyard,93,37.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Fess Parker 2014 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Fess Parker,2014
9382,9382,US,"It's the stem inclusion that shows itself first, with aromas of olive and herb in front of violets, red fruit, pepper, earth and whiffs of coffee and smoked meat. The flavors are reserved, supple and polished, with bright acids keeping it all in focus. It demands food alongside it to be properly appreciated.",John Lewis,93,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gramercy 2013 John Lewis Syrah (Walla Walla Valley (WA)),Syrah,Gramercy,2013
9383,9383,US,"Black cherries, leather, dried rose petals, rustic cinnamon, bloody meat, graphite, cherry cola and vanilla bean show on the wondrously layered nose of this Steve Clifton bottling. It's still a tad young on the palate, which is grippy with sticky tannins, but shows cola, brown spice, cinnamon, cardamom cream, tart plum fruit and a lasting dried mint element. Drink 2018 through 2028.",Sisquoc,93,60.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Palmina 2008 Sisquoc Nebbiolo (Santa Maria Valley),Nebbiolo,Palmina,2008
9388,9388,US,"This is a Westside Road site known for its rocky soils, and the wine presents sassafras, cherry-berry and roses on the entry before laying down a tightly woven mix of sour, salty cranberry and blood orange. It is softly voluptuous and velvety, though young, with a biting chewiness that should mellow in the cellar. Drink now through 2028.",Flax Vineyard,93,57.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Merry Edwards 2013 Flax Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Merry Edwards,2013
9394,9394,US,"A larger offering from the producer from a selection of sites, this shows a prowess of blending in its grippy, classic elements of black pepper and currant, a focused display of savory edges around elusive fruit that makes for a compelling experience. Drink now through 2023.",Estate Grown,93,50.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Turnbull 2013 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Turnbull,2013
9398,9398,US,"Red cherry, vanilla, chaparral scrub and cranberry puree show on the nose of this bottling from the longtime estate, and then come the intriguing olive and Middle Eastern spices. The palate hones in on that Mediterranean spice character, with Kalamata olives blending into lavender, exotic mulberry and thyme-laced cherry-plum sauce.",Classic Estate,93,32.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2014 Classic Estate Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill,2014
9401,9401,US,"Dark golden in color, this celebration of the Chinese zodiac opens with fresh-squeezed lemon and saline, a a saltiness that's inviting and imaginative. Medium in body, this is fleshy, juicy and bright, a complement of ripe apple and banana, a perfumed floral quality and spicy minerality.",Year of the Horse Single Vineyard,93,60.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Donum 2014 Year of the Horse Single Vineyard Chardonnay (Carneros),Chardonnay,Donum,2014
9402,9402,US,"From vines averaging 95 years old, this is an impressive effort, in balance between savory, sultry overtones of peppercorn and espresso and a riper, juicier core of blackberry. Supportive acidity provides a freshness to the wine, which offers plenty of length and breadth on the finish.",Old Vine,93,32.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Dry Creek Vineyard 2013 Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Dry Creek Vineyard,2013
9403,9403,US,"Elegant and silky on the nose, this bottling shows aromas of pressed violet, rose bud, grape candy, cherry blossom and lilac. There is a lot of cinnamon and star anise spice on the palate as well as a strong touch of licorice that's laid across deep olallieberry fruit and a lavender florality.",Lollapalooza Fiddlestix,93,80.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Fiddlehead 2011 Lollapalooza Fiddlestix Pinot Noir (Sta. Rita Hills),Pinot Noir,Fiddlehead,2011
9440,9440,US,"Another tiny production, made in a different style from many of the other designates released by the producer this year, Ten Oaks is named for the, yes, 10 trees bordering the vineyard. Medium in tannin and oak, with a surprising lightness of being, it shows a citrus-like quality that makes it refreshing, while a sublime texture keeps rolling along the tongue.",Ten Oaks Single Vineyard,92,72.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Donum 2013 Ten Oaks Single Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Donum,2013
9441,9441,US,"The aromas of embers, black pepper, dark fruit, herbs, smoke and spice are brooding and locked up on first pour, showing more on each swirl. The blue and black-fruit flavors are ripe, sweet and full, with savory notes fleshing out the crazy long finish.",Eleni Red Willow Vineyard,92,54.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Efeste 2013 Eleni Red Willow Vineyard Syrah (Yakima Valley),Syrah,Efeste,2013
9442,9442,US,"Floral, citrus aromas, honeylike flavors and an unctuous texture make this white Rhône-style blend almost a dessert in a glass—without being sweet. The wine is full bodied, mouthfilling, complex and gushing with great pastry-like flavors.",L'Ingenue,92,32.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Elyse 2013 L'Ingenue White (Sierra Foothills),White Blend,Elyse,2013
9445,9445,US,"There's an immediate pithy tension on the nose of this bottling from a producer in the game since 1933, with Brie-cheese rind, fresh Greek yogurt and and grapefruit-peel aromas. The flavors are intriguing, hard to pin down and alluring, with exotic citrus and varied stone fruit, light honeysuckle and crushed slate mixed with chalky structure. Simmering acidity keeps the flavors coming.",Regan Vineyards Reserve,92,30.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Bargetto 2014 Regan Vineyards Reserve Chardonnay (Santa Cruz Mountains),Chardonnay,Bargetto,2014
9452,9452,US,"Light and delicate aromas of lime curd, vanilla yogurt and a touch of pear custard show in a very pleasing manner on the nose of this vineyard-blend bottling. The palate is expertly rounded, with wet riverstone, yellow apple, lime zest and creamy white fruit like cherimoya and ripe nectarine.",Riverbed,92,28.0,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Mercy 2014 Riverbed Chardonnay (Arroyo Seco),Chardonnay,Mercy,2014
9453,9453,US,"Aromas of green herbs, flowers, earth and mineral start out quite brooding. The smoked meat and savory flavors are very pretty, showing a light touch. The finish lingers.",The Stones Speak,92,55.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Saviah 2012 The Stones Speak Syrah (Walla Walla Valley (WA)),Syrah,Saviah,2012
9455,9455,US,"Baked red plum, black cherry, sagebrush, graphite and budding hibiscus aromas show on the rich and minerally nose of this bottling. The palate is very inviting and lavish, with pungent dark red fruits of cherry and black plum enhanced by allspice, ginger and black pepper.",Diamond T Vineyard Estate Grown,92,52.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Talbott 2013 Diamond T Vineyard Estate Grown Pinot Noir (Monterey),Pinot Noir,Talbott,2013
9460,9460,US,"Typically the most forward of the winery's offerings, this wine brings aromas of blue fruit along with notes of fire pit, olive, mineral and cured meat that become more prominent over time. The blue and black-fruit flavors are dense and focused, with a firm backbone of tannins providing support. It needs time in the cellar to stretch its legs.",Ceidleigh,91,39.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Efeste 2013 Ceidleigh Syrah (Red Mountain),Syrah,Efeste,2013
9461,9461,US,"The white-pepper, garrigue, raspberry, orange-peel and pot-roast aromas pop. The palate is action packed with raspberry and cranberry flavors that lead to a long, savory finish.",Emmy Stone Tree Vineyard,91,49.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Efeste 2013 Emmy Stone Tree Vineyard Mourvèdre (Wahluke Slope),Mourvèdre,Efeste,2013
9463,9463,US,"Mostly Cabernet Sauvignon (74%) with the balance Merlot, Cabernet Franc and Petit Verdot, this wine starts out brooding, with aromas of coffee, spice, vanilla, plum, dark fruit and high-toned herbs. The cherry and barrel spice flavors coat the palate, backed by firm tannins that need time to soften.",Optu,91,50.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Fidelitas 2013 Optu Red (Red Mountain),Bordeaux-style Red Blend,Fidelitas,2013
9464,9464,US,"Pan-seared apple flesh, light jasmine, white lily, chamomile, lemongrass and sandstone aromas show on the delicate nose of this bottling from an increasingly popular vineyard in the foothills east of Salinas. Very stony and pithy flavors show once sipped, with crisp nectarine, heirloom apples, Asian pear, a slice of riper pineapple and sea-salt flavors.",Brosseau Vineyard,91,38.0,California,Chalone,Central Coast,Matt Kettmann,@mattkettmann,Flywheel 2013 Brosseau Vineyard Chardonnay (Chalone),Chardonnay,Flywheel,2013
9480,9480,US,"This notable Gewürtz starts with an aromatic, fresh fruit nose—melon, flowers—tinged with spice. On the palate, the wine offers an elegant array of white fruit, citrus and spice flavors and a shot of balancing acidity. The wine offers complexity but is also fun and refreshing, not perfumy or heavy.",Estate Bottled,87,15.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Lamoreaux Landing 2007 Estate Bottled Gewürztraminer (Finger Lakes),Gewürztraminer,Lamoreaux Landing,2007
9489,9489,US,"Pine and herb and green apple scents introduce this sharply defined wine, with crisp acidity and bright fruit flavors. It's tight and juicy, an excellent companion to creamy dishes or soft cheeses.",Unoaked,88,19.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Cave B 2009 Unoaked Chardonnay (Columbia Valley (WA)),Chardonnay,Cave B,2009
9511,9511,US,"Plump blackberries and ready-to-pop cherries are laced with touches of fresh tobacco, graphite and turned earth on this very well done Cab. The rich black plum fruit of the palate is cut by a strong acidity and firm tannic grip, with flavors of pencil lead keeping the wine serious and driven.",Homage Collection,92,48.0,California,Happy Canyon of Santa Barbara,Central Coast,Matt Kettmann,@mattkettmann,Zaca Mesa 2013 Homage Collection Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,Zaca Mesa,2013
9513,9513,US,"This wine gives a big bear hug with aromas like wild berries and black pepper. Then sweet oak and rich, savory plum flavors emerge on the palate as the ripeness comes through. The finish is long and reverberates with the nutmeg spiciness of perfectly seasoned barrels.",Eighteen Sixty-One,92,30.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Skinner 2012 Eighteen Sixty-One Red (El Dorado),Rhône-style Red Blend,Skinner,2012
9514,9514,US,"Imposing, concentrated and tannic, this Syrah-based blend needs time to mature and soften. It has vivid aromas and flavors of black pepper, clove, cranberry and dark chocolate plus an almost rigid mouthfeel from a thick underpinning of fine tannins. The distinctive flavors match the powerful structure, so it should age well. Best to drink after 2020.",Mr. Burgess,92,36.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,The Withers Winery 2013 Mr. Burgess Red (El Dorado),Rhône-style Red Blend,The Withers Winery,2013
9519,9519,US,"This is an earthy, ethereal, lighter-bodied wine. It's satisfyingly varietal and shines in blue fruit, sarsaparilla, strawberry hulls and touches of a forest floor's trove of mushrooms. Well-hewn acidity gives it a freshness and structure with a background of firm tannin.",Campbell Ranch Vineyard,92,54.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Gros Ventre 2013 Campbell Ranch Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Gros Ventre,2013
9521,9521,US,"A very ripe, sweet boysenberry aroma sets the tone for this very full-bodied, fruit-drenched wine. It fairly oozes blackberry flavors, feels rich and broad on the palate and has a firm but not very tannic texture. It's easy to enjoy this exuberant wine now through 2023.",V Block,92,60.0,California,Yountville,Napa,Jim Gordon,@gordone_cellars,Liparita 2013 V Block Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Liparita,2013
9525,9525,US,"Outcrop was planted in 1982. A hint of leather (not too much) along with scents of sassafras and crushed roses, open into a peppery palate with cranberries and red fruits. Ample acidity carries it into a penetrating finish. Drink 2020 through 2035 and beyond.",Outcrop Estate,92,50.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,The Eyrie Vineyards 2013 Outcrop Estate Pinot Noir (Dundee Hills),Pinot Noir,The Eyrie Vineyards,2013
9526,9526,US,"An abundance of fresh fruit spills out of this full-bodied, pure and uncomplicated wine in a way that's hard to resist. There is little obvious oak to get in the way of flavors like vine-ripened raspberries and blackberries as they stream along on fine tannins and lithe acidity.",Live Oak,92,34.0,California,Contra Costa County,Central Coast,Jim Gordon,@gordone_cellars,Three 2013 Live Oak Zinfandel (Contra Costa County),Zinfandel,Three,2013
9527,9527,US,"It's amazing how this super-concentrated wine smells like chocolate cherries and tastes almost like blackberry syrup, yet it's nice and dry in style. A firm coating of fine tannins gives grip on the tongue and seems to extend the juicy fruit and dark chocolate notes on the finish.",Old Vines,92,22.0,California,Contra Costa County,Central Coast,Jim Gordon,@gordone_cellars,Three 2013 Old Vines Zinfandel (Contra Costa County),Zinfandel,Three,2013
9533,9533,US,"From a warm site in a warm year and entirely varietal, there's much to impress in this wine, from its full-bodied, bold structure to its velvety texture. In between cranberry and pomegranate offer a freshness of flavor, bringing out further acidity before cocoa powder, tar and black cherry take over.",Kenefick Ranch,92,97.0,California,Calistoga,Napa,Virginie Boone,@vboone,B Cellars 2013 Kenefick Ranch Cabernet Sauvignon (Calistoga),Cabernet Sauvignon,B Cellars,2013
9534,9534,US,"Sultry blackberry, tobacco leaf, caramel and black pepper spice show on the nose of this well-integrated, brooding but fresh nose. The palate is rich, flavorful and vivacious, with lilac, lavender, boysenberry and olallieberry deepening into tar, char and smoked meats.",Zayante Vineyard,92,35.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Beauregard 2012 Zayante Vineyard Syrah (Santa Cruz Mountains),Syrah,Beauregard,2012
9535,9535,US,This limited block selection comes from own-rooted vines planted in 1979. Full-fruited flavors combine into a fresh and lush mix of berries and cherries with a citrusy kick. There's a tropical punch sensibility combined with the texture and depth of a very fine Pinot. The tannins are polished and in perfect proportion.,Flat Block,92,58.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Bethel Heights 2014 Flat Block Pinot Noir (Eola-Amity Hills),Pinot Noir,Bethel Heights,2014
9539,9539,US,"New management, farming and winemaking practices at this producer, including a focus on smaller production, are remarkably on display in this delicious white. Golden pear and crunchy apple provide an unctuous, delightfully balanced experience that's crisp in underlying acidity and subtle baking spice.",Estate,94,32.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Clos du Val 2015 Estate Chardonnay (Carneros),Chardonnay,Clos du Val,2015
9541,9541,US,"Exuberant in mousse, this wine is luxurious and rich, the perfect quaff for any occasion. Made from 75% Pinot Noir and 25% Chardonnay, and aged for three years, it's bright in bolts of green apple and strawberry.",Wedding Cuvée,94,44.0,California,Green Valley,Sonoma,Virginie Boone,@vboone,Iron Horse 2013 Wedding Cuvée Sparkling (Green Valley),Sparkling Blend,Iron Horse,2013
9542,9542,US,"This varietal wine is toasty in caramelized oak and richly interwoven with flavors and aromas of pencil shavings, plum and black currant. Grippy, with a velvety texture, it provides structure and power in equal parts.",Estate Grown Cave Fermented,94,115.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Jarvis 2013 Estate Grown Cave Fermented Cabernet Franc (Napa Valley),Cabernet Franc,Jarvis,2013
9543,9543,US,"From older vines planted on the producer's estate Quail Hill Vineyard, this wine is thickly concentrated, with a generosity of oak. Creamy, intense and well made, it features complex layers of golden apple, butter and lemon bar.",Old Vines,94,70.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar 2015 Old Vines Chardonnay (Russian River Valley),Chardonnay,Lynmar,2015
9544,9544,US,"This is a highly perfumed and floral wine from the famous site, which is tangy and slightly tart within a medium-bodied frame. Lemon and baked apple play off each other with ease, as a metallic edge of stony minerality persists and expands.",Hudson Vineyard,94,60.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Patz & Hall 2015 Hudson Vineyard Chardonnay (Carneros),Chardonnay,Patz & Hall,2015
9546,9546,US,"A blend of the favorite grapes of winemaker Edgar Torres (60% Grenache) and his wife, Erika (40% Syrah) from Kimsey Vineyard, this bottling shows bright and elegant aromas of boysenberry and elderberry with olive, wet river stone and pine forest. The chalky tannins still need time to evolve, but the black pepper, dark fruit, incense and myrrh flavors are well balanced.",E2,93,48.0,California,Ballard Canyon,Central Coast,Matt Kettmann,@mattkettmann,Bodega de Edgar 2014 E2 Red (Ballard Canyon),Rhône-style Red Blend,Bodega de Edgar,2014
